Area_code,Area_name,Patient count,CV_AF,CV_CHD,CV_CVD,CV_HF,CV_LVSD,CV_HYP,CV_PAD,CV_STIA,Resp_AST,Resp_COPD,LS_OB,HD_CAN,HD_CKD,HD_DM,HD_PC,Neu_DEM,Neu_DEP,Neu_EP,Neu_LD,Neu_MH,MS_OST,MS_RA
E54000025,HERTFORDSHIRE AND WEST ESSEX STP,"1,556,569",0.018655774,0.027159734,0.011902276,0.007049479,#N/A,0.132435504,0.004411626,0.01578986,0.05608810,0.01533180,0.08459099,0.02739615,0.03313449,0.05897216,0.00448358,0.00756600,0.09173997,0.00708569,0.00423239,0.00801699,0.00518513,0.00727865
E54000026,MID AND SOUTH ESSEX STP,"1,219,651",0.018502014,0.030493969,0.012663,0.007654649,#N/A,0.149364859,0.004320908,0.01737710,0.05893653,0.01898330,0.08569608,0.02751033,0.04513488,0.06607805,0.00302956,0.00780961,0.09135626,0.00790076,0.00408314,0.00819333,0.00390134,0.00850623
E54000027,NORTH WEST LONDON STP,"2,429,144",0.011174718,0.021430183,0.01132211,0.005270169,#N/A,0.113076047,0.003206068,0.01072724,0.04474128,0.01008421,0.07256099,0.01774493,0.02253432,0.07142564,0.00266802,0.00502029,0.06384569,0.00537096,0.00327564,0.01147812,0.00354334,0.00550859
E54000028,NORTH CENTRAL LONDON STP,"1,566,590",0.011315022,0.019231579,0.010868689,0.00571879,#N/A,0.108919373,0.00355294,0.01063009,0.04389151,0.01166419,0.07256698,0.02033334,0.02524391,0.05962966,0.00221309,0.00552155,0.07706745,0.00555645,0.00378146,0.01267849,0.00641689,0.00489372
E54000029,NORTH EAST LONDON STP,"2,169,970",0.008586294,0.019121002,0.010134758,0.005209749,#N/A,0.106162297,0.002930455,0.00940796,0.04472412,0.01136467,0.09257070,0.01525505,0.02542470,0.07330239,0.00261847,0.00409314,0.06912117,0.00527289,0.00366871,0.01073748,0.00326774,0.00556074
E54000030,SOUTH EAST LONDON STP,"1,959,410",0.01134321,0.018824034,0.010267018,0.005382232,#N/A,0.116663179,0.003828704,0.01144579,0.04720247,0.01333820,0.08402993,0.01925375,0.02429465,0.06120494,0.00237112,0.00514951,0.07762141,0.00579858,0.00360057,0.01122379,0.00312113,0.00536398
E54000031,SOUTH WEST LONDON STP,"1,658,613",0.011963611,0.019302875,0.008575636,0.004833557,#N/A,0.105609325,0.003238851,0.01072221,0.04541747,0.01108637,0.06165639,0.02098862,0.02428983,0.05531893,0.00266005,0.00558238,0.07118969,0.00575950,0.00376761,0.00966410,0.00428565,0.00562756
E54000036,CORNWALL AND THE ISLES OF SCILLY STP,"574,407",0.026087774,0.040417335,0.012230612,0.01231705,#N/A,0.156718146,0.006610295,0.02669884,0.06637802,0.02207668,0.11229407,0.03393064,0.05086214,0.06584500,0.00283771,0.00810401,0.08725139,0.00899915,0.00549436,0.00852009,0.00594585,0.00895164
E54000037,DEVON STP,"1,224,410",0.02593984,0.038454439,0.010826316,0.009555623,#N/A,0.156668926,0.007353746,0.02324793,0.06755662,0.02200815,0.09652069,0.03418789,0.04999880,0.06796286,0.00288874,0.00920852,0.10628285,0.00921671,0.00572684,0.00977940,0.00805088,0.00852504
E54000038,SOMERSET STP,"574,614",0.027996185,0.038107321,0.013747788,0.01112747,#N/A,0.166001873,0.008577932,0.02320688,0.06566495,0.02253339,0.09408058,0.03673074,0.04659142,0.06868308,0.00322999,0.00976482,0.11665552,0.00862988,0.00495289,0.00838128,0.00807738,0.00892522
E54000039,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP","1,008,028",0.020058967,0.027256187,0.011000555,0.008101957,#N/A,0.127178015,0.006005786,0.01795684,0.06280679,0.01785268,0.08552558,0.02738317,0.04852071,0.05887753,0.00235311,0.00741844,0.10844219,0.00788427,0.00456138,0.00848885,0.01334527,0.00719577
E54000040,"BATH, SWINDON AND WILTSHIRE STP","935,271",0.022083439,0.030846674,0.010767008,0.008788896,#N/A,0.144103688,0.005533156,0.01890575,0.06436637,0.01678658,0.09318228,0.03051522,0.03892441,0.06441569,0.00218119,0.00812706,0.09347801,0.00821046,0.00485421,0.00814416,0.00719898,0.00769958
E54000041,DORSET STP,"800,260",0.028403269,0.042256267,0.010940224,0.010164197,#N/A,0.15587809,0.006687826,0.02433334,0.06757429,0.02099068,0.08415003,0.03840752,0.05764096,0.06405126,0.00643791,0.01029041,0.09957313,0.00752995,0.00532952,0.00996426,0.00877394,0.00874587
E54000043,GLOUCESTERSHIRE STP,"636,319",0.023760095,0.032521424,0.010121531,0.008871337,#N/A,0.141454208,0.005635538,0.01959552,0.06641637,0.01817956,0.09490714,0.03138834,0.06555932,0.06685998,0.00337881,0.00928622,0.09355797,0.00913781,0.00569369,0.00794099,0.00762777,0.00848186
E54000032,KENT AND MEDWAY STP,"1,883,947",0.021422046,0.0292625,0.01096296,0.007384496,#N/A,0.146809332,0.005275626,0.01734603,0.05481205,0.02001596,0.09540771,0.02966007,0.04556311,0.06745838,0.00304786,0.00760637,0.10593385,0.00842051,0.00451552,0.00818494,0.00614217,0.00839578
E54000033,SUSSEX AND EAST SURREY STP,"1,929,828",0.024397511,0.033151659,0.012048884,0.00842044,#N/A,0.146822411,0.005786008,0.01991369,0.06123965,0.01824359,0.07759742,0.03273297,0.04554375,0.06283607,0.00389983,0.00969620,0.10886982,0.00776090,0.00531032,0.00998327,0.00628203,0.00757172
E54000034,FRIMLEY HEALTH STP,"783,310",0.017317537,0.025878643,0.012672232,0.007132553,#N/A,0.131536684,0.004491198,0.01418851,0.05454035,0.01262974,0.07743424,0.02510245,0.03508308,0.06410717,0.00342649,0.00672403,0.09342338,0.00665338,0.00318392,0.00770193,0.00593562,0.00582260
E54000035,SURREY HEARTLANDS STP,"903,745",0.020543405,0.025703047,0.011234816,0.005934196,#N/A,0.131657713,0.004420495,0.01602111,0.05237761,0.01268610,0.05820715,0.03061151,0.03748158,0.05383349,0.00324096,0.00837294,0.08808052,0.00645983,0.00393806,0.00722217,0.00748795,0.00670120
E54000042,HAMPSHIRE AND THE ISLE OF WIGHT STP,"1,870,332",0.021704703,0.030791325,0.011185383,0.008295853,#N/A,0.142234641,0.005974875,0.01933454,0.06329892,0.01890306,0.09315307,0.03110945,0.03578816,0.06215896,0.00331011,0.00860222,0.10397892,0.00784483,0.00456871,0.00894226,0.00832564,0.00747607
E54000044,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP","1,286,999",0.017658133,0.022811984,0.011336479,0.006758358,#N/A,0.123069249,0.004351985,0.01553070,0.05819274,0.01299069,0.07873067,0.02833258,0.03494262,0.05034791,0.00245377,0.00696815,0.09604293,0.00691924,0.00384460,0.00804041,0.00971062,0.00642992
